kecamatan,tahun,nama_kelurahan,latitude,longitude,jumlah_penduduk
Cengkareng,2024,"Cengkareng Barat",-6.1493440,106.7219197,80934
Cengkareng,2024,"Cengkareng Timur",-6.1449900,106.7332144,102322
Cengkareng,2024,"Duri Kosambi",-6.1699150,106.7224054,101642
Cengkareng,2024,Kapuk,-6.1311683,106.7461794,169854
Cengkareng,2024,"Kedaung Kali Angke",-6.1533586,106.7619079,44880
Cengkareng,2024,"Rawa Buaya",-6.1695837,106.7342225,82156
Kalideres,2024,Kalideres,-6.1431469,106.6925258,92105
Kalideres,2024,Pegadungan,-6.1297830,106.7108902,100035
Kalideres,2024,Semanan,-6.1599209,106.7053791,93049
Kalideres,2024,"Tegal Alur",-6.1174336,106.7195169,106990
Kalideres,2024,Kamal,-6.1043172,106.7060700,71897
"Kebon Jeruk",2024,"Kebon Jeruk",-6.1898130,106.7729746,52812
"Kebon Jeruk",2024,"Sukabumi Utara",-6.2099945,106.7776103,44597
"Kebon Jeruk",2024,"Sukabumi Selatan",-6.2176272,106.7699589,49291
"Kebon Jeruk",2024,"Kelapa Dua",-6.2092482,106.7685702,61026
"Kebon Jeruk",2024,"Duri Kepa",-6.1849548,106.7732735,56333
"Kebon Jeruk",2024,"Kedoya Utara",-6.1768364,106.7674220,51638
"Kebon Jeruk",2024,"Kedoya Selatan",-6.1795656,106.7589857,46944
Kembangan,2024,"Kembangan Utara",-6.1790302,106.7352758,56194
Kembangan,2024,"Kembangan Selatan",-6.1832955,106.7518239,50381
Kembangan,2024,"Meruya Utara",-6.1961966,106.7476775,53288
Kembangan,2024,"Meruya Selatan",-6.2144146,106.7363371,46506
Kembangan,2024,Srengseng,-6.2033127,106.7567441,49413
Kembangan,2024,Joglo,-6.2201743,106.7353460,55480
Tambora,2024,Tambora,-6.1465594,106.8085164,29204
Tambora,2024,"Kali Anyar",-6.1562722,106.7992973,25700
Tambora,2024,"Duri Utara",-6.1547085,106.8018943,23364
Tambora,2024,"Duri Selatan",-6.1566608,106.8023132,22195
Tambora,2024,Angke,-6.1433853,106.8001536,26868
Tambora,2024,"Jembatan Besi",-6.1509386,106.7994398,24532
Tambora,2024,"Jembatan Lima",-6.1457980,106.8016466,23364
Tambora,2024,"Tanah Sereal",-6.1572982,106.8088702,21027
Tambora,2024,Pekojan,-6.1393880,106.8006973,19859
Tambora,2024,"Roa Malaka",-6.1324760,106.8074972,18691
Tambora,2024,Krendang,-6.1520407,106.8017908,23257
"Grogol Petamburan",2024,Grogol,-6.1611000,106.7944000,38000
"Grogol Petamburan",2024,Tomang,-6.1714596,106.8003892,35000
"Grogol Petamburan",2024,Jelambar,-6.1611406,106.7815020,32000
"Grogol Petamburan",2024,"Jelambar Baru",-6.1470611,106.7814898,30000
"Grogol Petamburan",2024,"Tanjung Duren Utara",-6.1733092,106.7889735,28000
"Grogol Petamburan",2024,"Tanjung Duren Selatan",-6.1811908,106.7877744,27000
"Grogol Petamburan",2024,"Wijaya Kusuma",-6.1533374,106.7725119,40173
Palmerah,2024,Palmerah,-6.2016897,106.7872079,76532
Palmerah,2024,"Kota Bambu Utara",-6.1853217,106.8074056,35000
Palmerah,2024,"Kota Bambu Selatan",-6.1849208,106.8020171,32000
Palmerah,2024,Jatipulo,-6.1769774,106.8041679,30000
Palmerah,2024,Kemanggisan,-6.1922277,106.7867741,28000
Palmerah,2024,Slipi,-6.1935196,106.8019869,24310
"Taman Sari",2024,"Taman Sari",-6.1437973,106.8232193,15768
"Taman Sari",2024,Krukut,-6.1520198,106.8176866,14892
"Taman Sari",2024,Maphar,-6.1535107,106.8192082,14016
"Taman Sari",2024,Tangki,-6.1467659,106.8225361,13140
"Taman Sari",2024,"Mangga Besar",-6.1472593,106.8191765,16644
"Taman Sari",2024,Keagungan,-6.1508067,106.8149686,15768
"Taman Sari",2024,Glodok,-6.1461310,106.8129959,17439
"Taman Sari",2024,Pinangsia,-6.1379943,106.8195655,15242
Cengkareng,2025,"Cengkareng Barat",-6.1493440,106.7219197,81744
Cengkareng,2025,"Cengkareng Timur",-6.1449900,106.7332144,103345
Cengkareng,2025,"Duri Kosambi",-6.1699150,106.7224054,102659
Cengkareng,2025,Kapuk,-6.1311683,106.7461794,171552
Cengkareng,2025,"Kedaung Kali Angke",-6.1533586,106.7619079,45329
Cengkareng,2025,"Rawa Buaya",-6.1695837,106.7342225,82977
Kalideres,2025,Kalideres,-6.1431469,106.6925258,93027
Kalideres,2025,Pegadungan,-6.1297830,106.7108902,101035
Kalideres,2025,Semanan,-6.1599209,106.7053791,93979
Kalideres,2025,"Tegal Alur",-6.1174336,106.7195169,108060
Kalideres,2025,Kamal,-6.1043172,106.7060700,72616
"Kebon Jeruk",2025,"Kebon Jeruk",-6.1898130,106.7729746,53340
"Kebon Jeruk",2025,"Sukabumi Utara",-6.2099945,106.7776103,45043
"Kebon Jeruk",2025,"Sukabumi Selatan",-6.2176272,106.7699589,49784
"Kebon Jeruk",2025,"Kelapa Dua",-6.2092482,106.7685702,61636
"Kebon Jeruk",2025,"Duri Kepa",-6.1849548,106.7732735,56896
"Kebon Jeruk",2025,"Kedoya Utara",-6.1768364,106.7674220,52155
"Kebon Jeruk",2025,"Kedoya Selatan",-6.1795656,106.7589857,47413
Kembangan,2025,"Kembangan Utara",-6.1790302,106.7352758,56757
Kembangan,2025,"Kembangan Selatan",-6.1832955,106.7518239,50885
Kembangan,2025,"Meruya Utara",-6.1961966,106.7476775,53821
Kembangan,2025,"Meruya Selatan",-6.2144146,106.7363371,46971
Kembangan,2025,Srengseng,-6.2033127,106.7567441,49907
Kembangan,2025,Joglo,-6.2201743,106.7353460,56034
Tambora,2025,Tambora,-6.1465594,106.8085164,29496
Tambora,2025,"Kali Anyar",-6.1562722,106.7992973,25957
Tambora,2025,"Duri Utara",-6.1547085,106.8018943,23597
Tambora,2025,"Duri Selatan",-6.1566608,106.8023132,22417
Tambora,2025,Angke,-6.1433853,106.8001536,27137
Tambora,2025,"Jembatan Besi",-6.1509386,106.7994398,24777
Tambora,2025,"Jembatan Lima",-6.1457980,106.8016466,23597
Tambora,2025,"Tanah Sereal",-6.1572982,106.8088702,21238
Tambora,2025,Pekojan,-6.1393880,106.8006973,20058
Tambora,2025,"Roa Malaka",-6.1324760,106.8074972,18878
Tambora,2025,Krendang,-6.1520407,106.8017908,23490
"Grogol Petamburan",2025,Grogol,-6.1611000,106.7944000,38380
"Grogol Petamburan",2025,Tomang,-6.1714596,106.8003892,35350
"Grogol Petamburan",2025,Jelambar,-6.1611406,106.7815020,32320
"Grogol Petamburan",2025,"Jelambar Baru",-6.1470611,106.7814898,30300
"Grogol Petamburan",2025,"Tanjung Duren Utara",-6.1733092,106.7889735,28280
"Grogol Petamburan",2025,"Tanjung Duren Selatan",-6.1811908,106.7877744,27270
"Grogol Petamburan",2025,"Wijaya Kusuma",-6.1533374,106.7725119,40575
Palmerah,2025,Palmerah,-6.2016897,106.7872079,77297
Palmerah,2025,"Kota Bambu Utara",-6.1853217,106.8074056,35350
Palmerah,2025,"Kota Bambu Selatan",-6.1849208,106.8020171,32320
Palmerah,2025,Jatipulo,-6.1769774,106.8041679,30300
Palmerah,2025,Kemanggisan,-6.1922277,106.7867741,28280
Palmerah,2025,Slipi,-6.1935196,106.8019869,24553
"Taman Sari",2025,"Taman Sari",-6.1437973,106.8232193,15925
"Taman Sari",2025,Krukut,-6.1520198,106.8176866,15041
"Taman Sari",2025,Maphar,-6.1535107,106.8192082,14156
"Taman Sari",2025,Tangki,-6.1467659,106.8225361,13271
"Taman Sari",2025,"Mangga Besar",-6.1472593,106.8191765,16810
"Taman Sari",2025,Keagungan,-6.1508067,106.8149686,15925
"Taman Sari",2025,Glodok,-6.1461310,106.8129959,17615
"Taman Sari",2025,Pinangsia,-6.1379943,106.8195655,15395
Cengkareng,2026,"Cengkareng Barat",-6.1493440,106.7219197,82553
Cengkareng,2026,"Cengkareng Timur",-6.1449900,106.7332144,104369
Cengkareng,2026,"Duri Kosambi",-6.1699150,106.7224054,103675
Cengkareng,2026,Kapuk,-6.1311683,106.7461794,173250
Cengkareng,2026,"Kedaung Kali Angke",-6.1533586,106.7619079,45778
Cengkareng,2026,"Rawa Buaya",-6.1695837,106.7342225,83799
Kalideres,2026,Kalideres,-6.1431469,106.6925258,93947
Kalideres,2026,Pegadungan,-6.1297830,106.7108902,102035
Kalideres,2026,Semanan,-6.1599209,106.7053791,94910
Kalideres,2026,"Tegal Alur",-6.1174336,106.7195169,109130
Kalideres,2026,Kamal,-6.1043172,106.7060700,73335
"Kebon Jeruk",2026,"Kebon Jeruk",-6.1898130,106.7729746,53868
"Kebon Jeruk",2026,"Sukabumi Utara",-6.2099945,106.7776103,45489
"Kebon Jeruk",2026,"Sukabumi Selatan",-6.2176272,106.7699589,50277
"Kebon Jeruk",2026,"Kelapa Dua",-6.2092482,106.7685702,62247
"Kebon Jeruk",2026,"Duri Kepa",-6.1849548,106.7732735,57459
"Kebon Jeruk",2026,"Kedoya Utara",-6.1768364,106.7674220,52671
"Kebon Jeruk",2026,"Kedoya Selatan",-6.1795656,106.7589857,47883
Kembangan,2026,"Kembangan Utara",-6.1790302,106.7352758,57318
Kembangan,2026,"Kembangan Selatan",-6.1832955,106.7518239,51389
Kembangan,2026,"Meruya Utara",-6.1961966,106.7476775,54354
Kembangan,2026,"Meruya Selatan",-6.2144146,106.7363371,47436
Kembangan,2026,Srengseng,-6.2033127,106.7567441,50401
Kembangan,2026,Joglo,-6.2201743,106.7353460,56589
Tambora,2026,Tambora,-6.1465594,106.8085164,29789
Tambora,2026,"Kali Anyar",-6.1562722,106.7992973,26214
Tambora,2026,"Duri Utara",-6.1547085,106.8018943,23831
Tambora,2026,"Duri Selatan",-6.1566608,106.8023132,22639
Tambora,2026,Angke,-6.1433853,106.8001536,27405
Tambora,2026,"Jembatan Besi",-6.1509386,106.7994398,25022
Tambora,2026,"Jembatan Lima",-6.1457980,106.8016466,23831
Tambora,2026,"Tanah Sereal",-6.1572982,106.8088702,21448
Tambora,2026,Pekojan,-6.1393880,106.8006973,20256
Tambora,2026,"Roa Malaka",-6.1324760,106.8074972,19065
Tambora,2026,Krendang,-6.1520407,106.8017908,23722
"Grogol Petamburan",2026,Grogol,-6.1611000,106.7944000,38760
"Grogol Petamburan",2026,Tomang,-6.1714596,106.8003892,35700
"Grogol Petamburan",2026,Jelambar,-6.1611406,106.7815020,32640
"Grogol Petamburan",2026,"Jelambar Baru",-6.1470611,106.7814898,30600
"Grogol Petamburan",2026,"Tanjung Duren Utara",-6.1733092,106.7889735,28560
"Grogol Petamburan",2026,"Tanjung Duren Selatan",-6.1811908,106.7877744,27540
"Grogol Petamburan",2026,"Wijaya Kusuma",-6.1533374,106.7725119,40976
Palmerah,2026,Palmerah,-6.2016897,106.7872079,78063
Palmerah,2026,"Kota Bambu Utara",-6.1853217,106.8074056,35700
Palmerah,2026,"Kota Bambu Selatan",-6.1849208,106.8020171,32640
Palmerah,2026,Jatipulo,-6.1769774,106.8041679,30600
Palmerah,2026,Kemanggisan,-6.1922277,106.7867741,28560
Palmerah,2026,Slipi,-6.1935196,106.8019869,24796
"Taman Sari",2026,"Taman Sari",-6.1437973,106.8232193,16083
"Taman Sari",2026,Krukut,-6.1520198,106.8176866,15190
"Taman Sari",2026,Maphar,-6.1535107,106.8192082,14296
"Taman Sari",2026,Tangki,-6.1467659,106.8225361,13403
"Taman Sari",2026,"Mangga Besar",-6.1472593,106.8191765,16977
"Taman Sari",2026,Keagungan,-6.1508067,106.8149686,16083
"Taman Sari",2026,Glodok,-6.1461310,106.8129959,17788
"Taman Sari",2026,Pinangsia,-6.1379943,106.8195655,15547
